,순위,영화명,개봉일,좌석판매율,좌석점유율,좌석수,매출액,누적매출액,관객수,누적관객수,년도,장르,등급
206,114,리턴 투 센더,2016-03-10,0.03,0.0,197101,47702000,47702000,6062,6062,2016,범죄,15
207,114,셀,2016-06-29,0.056,0.0,99184,45255600,45255600,5617,5617,2016,공포(호러),19
208,114,新극장판 이니셜D: 레전드3 -몽현-,2016-08-25,0.05,0.0,110126,49132300,49132300,5544,5544,2016,애니메이션,12
209,114,극장판 울트라맨 우주 몬스터 대결전,2016-04-13,0.07,0.0,77916,40488900,40488900,5510,5510,2016,액션,전체
210,114,동키호테,2008-09-25,0.063,0.0,80894,37096700,437538200,5174,73743,2016,애니메이션,전체
211,114,나만이 없는 거리,2016-08-17,0.048,0.0,90014,33113000,33113000,4392,4392,2016,드라마,15
212,114,데미트리아스,1977-02-18,0.304,0.0,14368,8871000,9353000,4374,4615,2016,,
213,114,태양의 서커스 월드 어웨이,2016-01-06,0.094,0.0,45351,66949000,66949000,4274,4274,2016,공연,전체
214,114,이니시에이션 러브,2016-03-17,0.026,0.0,156524,32477500,32477500,4113,4113,2016,멜로/로맨스,12
215,114,비포 미드나잇,2013-05-22,0.036,0.0,109753,28540462,1523851962,4034,208911,2016,멜로/로맨스,19
216,114,런던시계탑 밑에서 사랑을 찾을 확률,2016-01-28,0.299,0.0,13164,30120000,30120000,3948,3948,2016,코미디,15
217,114,성월동화,1999-08-28,0.081,0.0,38641,24244000,24244000,3161,3161,2016,,
218,114,실버벨,2016-12-15,0.134,0.0,21604,21598000,21598000,2910,2910,2016,,
219,114,일 트로바토레,2016-01-16,0.218,0.0,11794,63645000,63645000,2578,2578,2016,,
220,114,투란도트,2016-02-07,0.258,0.0,9514,64412500,64412500,2455,2455,2016,,
221,114,겁쟁이 페달: 스페어 바이크,2016-11-17,0.047,0.0,50622,18060000,18060000,2415,2415,2016,,
222,114,투란도트,2016-07-02,0.334,0.0,7010,56703000,56703000,2344,2344,2016,,
223,114,살인의 추억,2003-04-25,0.128,0.0,16212,13874800,15662997,2079,2338,2016,,
224,114,붉은 수수밭,1989-09-09,0.241,0.0,8446,5219000,5219000,2041,2041,2016,,
225,114,라이온 킹,1994-07-02,0.52,0.0,3835,16265000,3178526000,1996,298371,2016,어드벤처,전체
226,114,러브 라이브! 더 스쿨 아이돌 무비,2015-09-03,0.474,0.0,4198,18147000,1003216000,1992,132215,2016,애니메이션,전체
227,114,킹스글레이브: 파이널 판타지 XV,2016-08-25,0.775,0.0,2529,16319300,16319300,1960,1960,2016,,
228,114,스퀴즈,2016-11-10,0.031,0.0,59232,14809000,14809000,1866,1866,2016,,
229,114,퀸카가 아니어도 좋아,2016-02-25,0.395,0.0,4577,10009000,10009000,1810,1810,2016,,
230,114,프레셔스 카고: 프로 범죄단,2016-09-01,0.102,0.0,17002,10241000,10241000,1745,1745,2016,,
231,114,돈 맛,2016-09-29,0.212,0.0,8170,8439000,8439000,1733,1733,2016,,
232,114,인어공주,1991-12-21,0.498,0.0,3377,13313000,13485000,1682,1717,2016,,
233,114,웨포나이즈드,2016-07-06,0.615,0.0,2695,8290000,8290000,1658,1658,2016,,
234,114,괴물의 아이,2015-11-25,0.153,0.0,10626,12670300,1665251116,1633,224849,2016,애니메이션,12
