,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,연도,상영횟수,개봉년도
140,152,21,2008-06-19,730776100,0.001,108648.0,64.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,,2008
141,153,람보 4 : 라스트 블러드,2008-02-28,696504500,0.001,108473.0,196.0,미국,"미국,독일",(주)스튜디오이쩜영,2008,,2008
142,154,워터호스,2008-03-20,629620000,0.001,106028.0,42.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,,2008
143,155,스타워즈 : 클론 전쟁,2008-09-04,646062000,0.001,105151.0,211.0,미국,미국,워너브러더스 코리아(주),2008,,2008
144,156,허밍,2008-03-13,640923000,0.001,104850.0,167.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
145,157,하우 투 루즈 프렌즈,2008-10-16,647938167,0.001,102722.0,199.0,영국,영국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
146,158,말할 수 없는 비밀,2008-01-10,634104500,0.001,99106.0,37.0,대만,"대만,홍콩","(주)엔케이컨텐츠,(주)디스테이션,(주)스폰지이엔티",2008,,2008
147,159,소년은 울지 않는다,2008-11-06,599069000,0.001,94993.0,198.0,한국,한국,㈜스튜디오이쩜영,2008,,2008
148,160,써티 데이즈 오브 나이트,2008-01-10,623841500,0.001,93191.0,122.0,미국,미국,㈜케이디미디어,2008,,2008
149,161,그 남자의 책 198쪽,2008-10-23,575174333,0.001,91387.0,220.0,한국,한국,(주)성원아이컴,2008,,2008
150,162,패솔로지,2008-04-17,569157500,0.001,91253.0,136.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
151,163,둠스데이:지구 최후의 날,2008-06-19,598350500,0.001,90666.0,203.0,미국,"미국,영국,남아프리카공화국",영화사청어람(주),2008,,2008
152,164,비몽,2008-10-09,584498500,0.001,87869.0,100.0,한국,"한국,일본",(주)스폰지이엔티,2008,,2008
153,165,디 아이,2008-06-05,542600500,0.001,85559.0,108.0,미국,미국,(주)쇼박스,2008,,2008
154,166,어린 왕자,2008-01-17,493292500,0.001,84015.0,181.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,,2008
155,167,렛 미 인,2008-11-13,538355000,0.001,80994.0,50.0,스웨덴,스웨덴,"씨네그루(주)다우기술,(주)영화사구안",2008,,2008
156,168,알이씨(Rec),2008-07-10,524571500,0.001,77533.0,97.0,스페인,스페인,유니버설픽쳐스인터내셔널 코리아(유),2008,,2008
157,169,100 피트,2008-07-24,505925500,0.001,76985.0,133.0,미국,미국,(주)싸이더스,2008,,2008
158,170,외톨이,2008-09-18,474493500,0.001,74282.0,199.0,한국,한국,(주)성원아이컴,2008,,2008
159,171,에반게리온 : 서(序),2008-01-24,490698000,0.001,74242.0,19.0,일본,일본,(주)태원엔터테인먼트,2008,,2008
