순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
4868,미켈란젤로 : 사랑과 죽음,데이비드 비커스태프,,메가박스중앙(주),메가박스중앙(주),2018-05-31,개봉영화,장편,영국,19,33952000,3411,22708000,2394,다큐멘터리,전체,일반영화,2018,33952
4869,퍼블릭 에너미 넘버원,장-프랑소와 리셰,,(주)부메랑모션픽쳐스,예지림엔터테인먼트,2011-08-25,개봉영화,장편,프랑스,35,26932000,3410,13216500,1614,액션,19,일반영화,2011,26932
4870,밤을 걷는 뱀파이어 소녀,애나 릴리 아미푸르,,찬란,찬란,2015-06-25,개봉영화,장편,미국,23,26003679,3407,19446500,2464,공포(호러),15,독립/예술영화,2015,26003
4871,로맨스 조,이광국,(주)보리픽쳐스,,씨네21아이(주),2012-03-08,개봉영화,장편,한국,19,25937600,3402,19854100,2492,드라마,15,독립/예술영화,2012,25937
4872,매튜 본의 백조의 호수,,,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,2019-10-31,개봉영화,장편,영국,15,55609000,3388,38672000,2361,공연,12,일반영화,2019,55609
4873,박강아름 결혼하다,박강아름,창작집단3355 (A.3355),,(주)영화사 진진,2021-08-19,개봉영화,장편,한국,32,24748710,3386,19450210,2588,다큐멘터리,전체,독립/예술영화,2021,24748
4874,어느날 그 길에서,황윤,스튜디오두마,,(주)영화사 진진,2008-03-27,개봉영화,장편,한국,4,21767000,3380,18867000,2884,다큐멘터리,전체,독립/예술영화,2008,21767
4875,봄이가도,"장준엽,진청하,전신환",왕십리픽쳐스,,(주)시네마달,2018-09-13,개봉영화,장편,한국,31,24339700,3379,16565300,2202,드라마,12,독립/예술영화,2018,24339
4876,아빠의 화장실,"세자르 샬론,엔리케 페르난데스",,(주)영화사 진진,(주)영화사 진진,2009-06-25,개봉영화,장편,우루과이,1,23732074,3378,21841500,3052,드라마,12,독립/예술영화,2009,23732
4877,유어 아이즈 텔,미키 타카히로,,주식회사 더쿱,"(주)리틀빅픽쳐스,주식회사 더쿱",2021-03-11,개봉영화,장편,일본,103,23063760,3375,13877020,2353,멜로/로맨스,15,독립/예술영화,2021,23063
4878,토카레브,파코 카베자스,,(주)누리픽쳐스,(주)누리픽쳐스,2014-10-23,개봉영화,장편,미국,20,17706000,3375,8820000,1796,액션,19,일반영화,2014,17706
4879,꼬마 마법사 레미 : 견습 마법사를 찾아서,"사토 준이치,카마타니 하루카",,(주)얼리버드픽쳐스,(주)얼리버드픽쳐스,2021-05-19,개봉영화,장편,일본,65,37980500,3372,15271500,1323,애니메이션,12,일반영화,2021,37980
4880,인생을 애니메이션처럼,로저 로스 윌리엄스,,판씨네마(주),판씨네마(주),2017-09-27,개봉영화,장편,미국,49,24952800,3372,16072000,2110,다큐멘터리,전체,독립/예술영화,2017,24952
4881,질투의 역사,정인봉,(주)유앤정필름,,"와이드 릴리즈(주),(주)스톰픽쳐스코리아",2019-03-14,개봉영화,장편,한국,83,30276830,3372,13969650,1371,멜로/로맨스,15,독립/예술영화,2019,30276
4882,쿠사마 야요이: 무한의 세계,,,오드,오드,2021-05-19,개봉영화,장편,미국,38,27389510,3369,19119010,2188,다큐멘터리,전체,독립/예술영화,2021,27389
